Date,Product,sales,Category,City
2024-01-01,Apollo Hospitals Service/Product,39977,Healthcare,Chennai
2024-02-01,Apollo Hospitals Service/Product,26644,Healthcare,Chennai
2024-03-01,Apollo Hospitals Service/Product,33622,Healthcare,Chennai
2024-04-01,Apollo Hospitals Service/Product,28500,Healthcare,Chennai
2024-05-01,Apollo Hospitals Service/Product,25394,Healthcare,Chennai
2024-06-01,Apollo Hospitals Service/Product,39335,Healthcare,Chennai
2024-07-01,Apollo Hospitals Service/Product,37851,Healthcare,Chennai
2024-08-01,Apollo Hospitals Service/Product,37019,Healthcare,Chennai
2024-09-01,Apollo Hospitals Service/Product,27487,Healthcare,Chennai
2024-10-01,Apollo Hospitals Service/Product,29326,Healthcare,Chennai
2024-11-01,Apollo Hospitals Service/Product,28519,Healthcare,Chennai
2024-12-01,Apollo Hospitals Service/Product,39174,Healthcare,Chennai
