Date,Product,,Category,City
2024-01-01,Bharti Airtel Service/Product,49876,Telecom,Delhi
2024-02-01,Bharti Airtel Service/Product,62074,Telecom,Delhi
2024-03-01,Bharti Airtel Service/Product,73466,Telecom,Delhi
2024-04-01,Bharti Airtel Service/Product,64424,Telecom,Delhi
2024-05-01,Bharti Airtel Service/Product,51993,Telecom,Delhi
2024-06-01,Bharti Airtel Service/Product,44099,Telecom,Delhi
2024-07-01,Bharti Airtel Service/Product,61927,Telecom,Delhi
2024-08-01,Bharti Airtel Service/Product,65391,Telecom,Delhi
2024-09-01,Bharti Airtel Service/Product,64960,Telecom,Delhi
2024-10-01,Bharti Airtel Service/Product,61527,Telecom,Delhi
2024-11-01,Bharti Airtel Service/Product,53637,Telecom,Delhi
2024-12-01,Bharti Airtel Service/Product,59029,Telecom,Delhi
