Date,Product,Amount,Category,City
2024-01-01,HDFC Bank Service/Product,85643,Finance,Mumbai
2024-02-01,HDFC Bank Service/Product,82627,Finance,Mumbai
2024-03-01,HDFC Bank Service/Product,86555,Finance,Mumbai
2024-04-01,HDFC Bank Service/Product,77417,Finance,Mumbai
2024-05-01,HDFC Bank Service/Product,66587,Finance,Mumbai
2024-06-01,HDFC Bank Service/Product,50952,Finance,Mumbai
2024-07-01,HDFC Bank Service/Product,63259,Finance,Mumbai
2024-08-01,HDFC Bank Service/Product,56882,Finance,Mumbai
2024-09-01,HDFC Bank Service/Product,85281,Finance,Mumbai
2024-10-01,HDFC Bank Service/Product,63662,Finance,Mumbai
2024-11-01,HDFC Bank Service/Product,52129,Finance,Mumbai
2024-12-01,HDFC Bank Service/Product,69891,Finance,Mumbai
