Date,Product,Amount ,Category,City
2024-01-01,Hindustan Unilever Service/Product,10775,FMCG,Mumbai
2024-02-01,Hindustan Unilever Service/Product,9257,FMCG,Mumbai
2024-03-01,Hindustan Unilever Service/Product,9549,FMCG,Mumbai
2024-04-01,Hindustan Unilever Service/Product,14906,FMCG,Mumbai
2024-05-01,Hindustan Unilever Service/Product,13160,FMCG,Mumbai
2024-06-01,Hindustan Unilever Service/Product,13220,FMCG,Mumbai
2024-07-01,Hindustan Unilever Service/Product,10899,FMCG,Mumbai
2024-08-01,Hindustan Unilever Service/Product,14723,FMCG,Mumbai
2024-09-01,Hindustan Unilever Service/Product,14342,FMCG,Mumbai
2024-10-01,Hindustan Unilever Service/Product,11972,FMCG,Mumbai
2024-11-01,Hindustan Unilever Service/Product,10660,FMCG,Mumbai
2024-12-01,Hindustan Unilever Service/Product,9821,FMCG,Mumbai
