Date,Product,Amount,Category,City
2024-01-01,Infosys Service/Product,33438,IT Services,Bangalore
2024-02-01,Infosys Service/Product,39508,IT Services,Bangalore
2024-03-01,Infosys Service/Product,46714,IT Services,Bangalore
2024-04-01,Infosys Service/Product,32218,IT Services,Bangalore
2024-05-01,Infosys Service/Product,36464,IT Services,Bangalore
2024-06-01,Infosys Service/Product,41255,IT Services,Bangalore
2024-07-01,Infosys Service/Product,36079,IT Services,Bangalore
2024-08-01,Infosys Service/Product,34577,IT Services,Bangalore
2024-09-01,Infosys Service/Product,26354,IT Services,Bangalore
2024-10-01,Infosys Service/Product,26730,IT Services,Bangalore
2024-11-01,Infosys Service/Product,26722,IT Services,Bangalore
2024-12-01,Infosys Service/Product,39977,IT Services,Bangalore
