Date,Product,Amount,Category,City
2024-01-01,Larsen Toubro Service/Product,67541,Construction,Mumbai
2024-02-01,Larsen Toubro Service/Product,87369,Construction,Mumbai
2024-03-01,Larsen Toubro Service/Product,79763,Construction,Mumbai
2024-04-01,Larsen Toubro Service/Product,60165,Construction,Mumbai
2024-05-01,Larsen Toubro Service/Product,63272,Construction,Mumbai
2024-06-01,Larsen Toubro Service/Product,81053,Construction,Mumbai
2024-07-01,Larsen Toubro Service/Product,56413,Construction,Mumbai
2024-08-01,Larsen Toubro Service/Product,80119,Construction,Mumbai
2024-09-01,Larsen Toubro Service/Product,90195,Construction,Mumbai
2024-10-01,Larsen Toubro Service/Product,79417,Construction,Mumbai
2024-11-01,Larsen Toubro Service/Product,91846,Construction,Mumbai
2024-12-01,Larsen Toubro Service/Product,79824,Construction,Mumbai
