Date,Product,Amount,Category,City
2024-01-01,Mahindra Service/Product,65054,Automotive,Pune
2024-02-01,Mahindra Service/Product,67298,Automotive,Pune
2024-03-01,Mahindra Service/Product,92134,Automotive,Pune
2024-04-01,Mahindra Service/Product,71606,Automotive,Pune
2024-05-01,Mahindra Service/Product,65128,Automotive,Pune
2024-06-01,Mahindra Service/Product,92038,Automotive,Pune
2024-07-01,Mahindra Service/Product,97177,Automotive,Pune
2024-08-01,Mahindra Service/Product,85165,Automotive,Pune
2024-09-01,Mahindra Service/Product,87048,Automotive,Pune
2024-10-01,Mahindra Service/Product,57269,Automotive,Pune
2024-11-01,Mahindra Service/Product,66258,Automotive,Pune
2024-12-01,Mahindra Service/Product,89605,Automotive,Pune
