Date,Product,Amount,Category,City
2024-01-01,Reliance Industries Service/Product,43956,Energy & Retail,Mumbai
2024-02-01,Reliance Industries Service/Product,40589,Energy & Retail,Mumbai
2024-03-01,Reliance Industries Service/Product,40896,Energy & Retail,Mumbai
2024-04-01,Reliance Industries Service/Product,43299,Energy & Retail,Mumbai
2024-05-01,Reliance Industries Service/Product,29795,Energy & Retail,Mumbai
2024-06-01,Reliance Industries Service/Product,28777,Energy & Retail,Mumbai
2024-07-01,Reliance Industries Service/Product,32891,Energy & Retail,Mumbai
2024-08-01,Reliance Industries Service/Product,40232,Energy & Retail,Mumbai
2024-09-01,Reliance Industries Service/Product,38620,Energy & Retail,Mumbai
2024-10-01,Reliance Industries Service/Product,40238,Energy & Retail,Mumbai
2024-11-01,Reliance Industries Service/Product,41613,Energy & Retail,Mumbai
2024-12-01,Reliance Industries Service/Product,28342,Energy & Retail,Mumbai
