Date,Product,Amount,Category,City
2024-01-01,TCS Service/Product,83988,IT Solutions,Mumbai
2024-02-01,TCS Service/Product,74964,IT Solutions,Mumbai
2024-03-01,TCS Service/Product,84449,IT Solutions,Mumbai
2024-04-01,TCS Service/Product,69817,IT Solutions,Mumbai
2024-05-01,TCS Service/Product,65378,IT Solutions,Mumbai
2024-06-01,TCS Service/Product,74019,IT Solutions,Mumbai
2024-07-01,TCS Service/Product,47317,IT Solutions,Mumbai
2024-08-01,TCS Service/Product,84241,IT Solutions,Mumbai
2024-09-01,TCS Service/Product,56416,IT Solutions,Mumbai
2024-10-01,TCS Service/Product,58262,IT Solutions,Mumbai
2024-11-01,TCS Service/Product,56102,IT Solutions,Mumbai
2024-12-01,TCS Service/Product,82674,IT Solutions,Mumbai
