Date,Product,Amount,Category,City
2024-01-01,Tata Steel Service/Product,35308,Manufacturing,Jamshedpur
2024-02-01,Tata Steel Service/Product,47499,Manufacturing,Jamshedpur
2024-03-01,Tata Steel Service/Product,36217,Manufacturing,Jamshedpur
2024-04-01,Tata Steel Service/Product,32524,Manufacturing,Jamshedpur
2024-05-01,Tata Steel Service/Product,27346,Manufacturing,Jamshedpur
2024-06-01,Tata Steel Service/Product,32960,Manufacturing,Jamshedpur
2024-07-01,Tata Steel Service/Product,35630,Manufacturing,Jamshedpur
2024-08-01,Tata Steel Service/Product,32865,Manufacturing,Jamshedpur
2024-09-01,Tata Steel Service/Product,45378,Manufacturing,Jamshedpur
2024-10-01,Tata Steel Service/Product,33936,Manufacturing,Jamshedpur
2024-11-01,Tata Steel Service/Product,29105,Manufacturing,Jamshedpur
2024-12-01,Tata Steel Service/Product,34691,Manufacturing,Jamshedpur
