Store_ID,Department,Region,Product_Category,Date,Weekly_Sales,Cost,Profit,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
18,10,East,Sports,2023-04-13,42986.32,36086.76,6899.56,0,18.51,2.52,213.48,6.92
12,10,North,Electronics,2024-03-11,41309.21,26038.74,15270.47,0,18.52,3.09,248.67,7.87
6,1,South,Electronics,2023-09-28,33115.81,27814.09,5301.72,0,24.47,2.51,252.71,3.83
20,2,South,Home,2023-04-17,17121.58,10890.62,6230.96,0,31.59,3.25,204.29,4.75
13,6,East,Groceries,2023-03-13,17781.59,11334.29,6447.3,0,20.77,2.63,201.95,3.98
20,10,North,Sports,2024-12-01,10580.13,9356.63,1223.5,0,28.3,4.33,244.67,5.73
16,5,East,Clothing,2023-01-21,46483.42,39316.58,7166.84,0,21.47,3.33,208.0,4.99
18,9,North,Groceries,2024-09-06,12781.92,9787.41,2994.51,0,19.14,3.42,207.98,8.13
10,5,West,Clothing,2023-05-02,30779.9,26547.39,4232.51,0,10.75,3.2,201.34,3.76
8,2,West,Home,2024-04-11,31295.81,28066.38,3229.43,0,10.12,3.76,202.99,8.26
18,10,East,Sports,2023-08-03,27260.42,21350.16,5910.26,1,16.82,4.07,215.82,3.32
1,4,West,Home,2023-11-27,20863.33,16354.13,4509.2,0,22.19,3.8,203.9,4.41
8,9,East,Clothing,2024-04-03,35086.48,28992.94,6093.54,0,35.54,4.0,222.13,8.54
6,1,South,Electronics,2023-03-29,22473.4,15049.13,7424.27,0,33.95,4.31,249.97,8.2
5,1,North,Home,2024-01-08,16480.19,10714.39,5765.8,0,18.01,4.23,219.58,6.33
15,7,North,Sports,2023-04-10,29229.99,24198.76,5031.23,1,17.34,3.85,243.67,3.35
15,3,South,Home,2024-10-25,46865.51,32968.55,13896.96,1,16.82,2.93,205.63,7.27
2,10,South,Groceries,2023-05-11,48491.53,31059.85,17431.68,0,20.18,3.78,239.56,5.85
1,2,South,Home,2024-10-23,33617.76,23346.3,10271.46,0,24.95,3.51,219.0,5.22
11,9,South,Clothing,2023-11-05,40194.56,28441.31,11753.25,0,23.16,3.93,244.99,7.48
10,3,West,Home,2023-12-10,28977.12,25777.13,3199.99,0,16.55,4.17,208.18,6.06
18,2,North,Sports,2024-05-06,37032.11,29973.34,7058.77,1,13.91,3.99,253.87,3.65
18,8,North,Home,2024-02-18,49463.9,37555.81,11908.09,0,10.38,4.19,214.55,9.41
17,10,South,Home,2024-01-21,24728.85,22025.05,2703.8,0,14.62,2.63,221.19,8.45
8,6,East,Sports,2023-07-11,7981.46,6951.39,1030.07,0,31.16,2.56,257.01,3.39
15,6,East,Home,2023-10-04,48065.31,36222.03,11843.28,0,17.31,3.02,234.71,6.68
8,10,East,Sports,2023-06-10,40687.78,35467.7,5220.08,0,24.06,4.3,221.95,3.58
17,7,East,Clothing,2024-04-04,22923.97,16534.86,6389.11,0,27.74,4.15,256.98,8.86
12,7,West,Sports,2023-11-10,49207.78,32926.21,16281.57,0,36.61,3.87,219.74,7.29
8,6,North,Clothing,2023-01-22,20549.11,13763.86,6785.25,0,36.67,3.9,205.69,4.21
14,4,North,Clothing,2023-09-10,21745.41,17367.94,4377.47,0,32.37,3.95,259.81,3.15
4,9,North,Sports,2024-07-14,41728.85,31310.04,10418.81,1,11.05,4.39,216.07,3.22
1,6,East,Home,2024-04-19,17345.63,13836.35,3509.28,0,27.25,4.16,251.08,6.55
1,4,South,Groceries,2023-02-28,36435.72,29360.73,7074.99,0,33.6,3.75,209.93,8.14
19,3,East,Sports,2024-05-25,11878.26,7206.5,4671.76,0,10.52,3.83,243.88,3.85
16,4,North,Home,2024-11-12,9861.14,6076.55,3784.59,0,26.49,2.93,231.47,4.55
14,3,East,Clothing,2024-04-20,29069.51,22087.11,6982.4,0,35.73,3.81,258.85,5.29
16,2,South,Electronics,2024-11-30,29997.22,19717.49,10279.73,0,24.22,3.35,233.17,4.53
5,5,South,Groceries,2023-07-09,9799.48,7739.24,2060.24,0,10.12,2.81,201.5,5.74
9,2,East,Home,2024-11-17,57493.58,44020.29,13473.29,1,10.33,4.11,236.23,6.92
2,6,North,Groceries,2024-07-16,30797.9,23890.8,6907.1,0,22.5,3.52,208.72,7.79
18,3,West,Electronics,2024-07-20,11796.57,8148.32,3648.25,0,14.65,4.45,247.91,9.75
6,6,North,Electronics,2023-09-01,19014.91,15058.92,3955.99,0,29.93,3.06,251.39,9.52
9,10,West,Electronics,2024-05-19,41010.54,34811.71,6198.83,0,31.26,3.46,228.93,6.99
1,9,North,Sports,2023-05-11,28545.42,25674.36,2871.06,0,15.34,3.4,246.99,8.14
9,1,East,Groceries,2024-04-29,13466.68,11467.33,1999.35,0,36.66,2.74,208.71,9.66
16,6,West,Sports,2024-10-08,9628.2,7387.23,2240.97,0,23.26,3.35,229.52,3.58
13,9,North,Electronics,2023-01-21,24384.85,16045.94,8338.91,0,14.29,3.08,223.64,3.04
9,4,East,Home,2023-06-16,20183.66,16236.42,3947.24,0,32.93,2.82,236.68,3.21
13,2,North,Electronics,2023-10-01,34516.28,30419.06,4097.22,0,33.7,3.06,202.67,6.94
9,4,South,Sports,2024-01-23,48472.92,32164.69,16308.23,1,29.18,2.97,245.13,8.34
11,1,South,Electronics,2024-08-23,16147.86,10928.85,5219.01,0,35.6,3.97,204.75,5.57
4,3,North,Electronics,2023-11-12,43485.53,28035.23,15450.3,0,32.12,2.56,239.39,6.82
2,10,East,Sports,2023-01-14,46420.79,38112.23,8308.56,0,36.47,3.73,201.11,6.61
6,9,North,Sports,2023-08-30,45590.12,32914.63,12675.49,0,23.02,4.02,249.91,3.66
14,10,East,Home,2023-12-12,47843.48,29605.96,18237.52,0,32.43,3.46,210.48,5.25
4,5,West,Sports,2024-07-18,42894.89,36996.2,5898.69,0,39.99,4.36,230.93,3.14
6,6,South,Home,2023-12-06,31706.87,24328.73,7378.14,0,31.75,3.92,215.69,3.77
19,3,West,Clothing,2023-04-02,23443.07,16394.4,7048.67,0,13.43,4.0,243.36,8.68
6,5,East,Clothing,2024-01-02,27125.95,19074.83,8051.12,0,25.55,2.89,219.28,8.81
2,8,North,Sports,2024-03-30,44267.55,30415.14,13852.41,0,27.62,4.05,243.48,8.61
18,6,South,Electronics,2024-03-03,23967.11,17655.23,6311.88,1,15.23,4.16,217.09,8.09
13,4,East,Groceries,2024-05-23,12166.78,8530.28,3636.5,0,38.89,3.22,245.15,8.55
9,2,East,Electronics,2023-02-04,11336.86,8665.71,2671.15,0,15.27,2.93,201.84,7.7
19,9,South,Sports,2023-07-25,42214.76,35125.01,7089.75,0,15.33,3.27,217.0,7.69
13,1,North,Home,2023-03-22,39266.86,31505.31,7761.55,0,37.46,3.98,229.92,7.67
11,1,South,Electronics,2024-07-15,27394.04,18856.33,8537.71,0,23.96,3.34,202.7,6.6
1,4,North,Clothing,2024-01-23,17369.21,13176.67,4192.54,0,11.9,3.97,211.16,5.54
7,7,North,Sports,2023-01-02,35492.59,30241.03,5251.56,0,27.95,2.73,256.07,8.11
15,1,East,Electronics,2024-01-25,6729.49,4175.39,2554.1,0,28.05,4.11,258.61,5.09
1,9,North,Electronics,2024-07-19,30570.25,19060.22,11510.03,0,11.94,3.01,244.38,6.8
12,4,North,Home,2023-04-16,22929.13,17583.23,5345.9,0,39.18,3.0,215.13,6.03
7,3,South,Home,2024-04-21,56792.92,44964.92,11828.0,1,26.32,3.68,215.63,4.94
15,1,South,Home,2024-12-03,27840.21,18469.86,9370.35,0,26.79,2.64,238.75,9.82
19,10,North,Groceries,2024-02-06,37941.99,31247.73,6694.26,1,25.6,2.55,207.06,4.81
1,4,East,Sports,2024-12-30,37056.32,29418.23,7638.09,0,28.32,3.02,256.9,5.17
17,9,South,Sports,2024-07-09,26804.23,23506.96,3297.27,0,17.93,3.58,213.49,4.13
17,10,West,Clothing,2023-06-11,19424.8,12639.45,6785.35,1,18.62,4.32,259.98,8.76
3,6,East,Clothing,2023-07-21,29177.5,24083.47,5094.03,0,25.34,4.19,229.74,7.11
12,6,South,Sports,2023-09-27,54885.88,34308.78,20577.1,1,34.2,3.48,246.29,7.29
